Device_SN,PartNo_Select,Iop (mA),Ith (mA),Laser Temperature (Top) (C),Slope Efficiency (mW/mA),Optical Power (mW),SMSR (dB),Tracking Error_MIN (dB),Tracking Error_MAX (dB),Thermistor Resistance (Rth) (K-Ohm),B Consttant (K),CNR @ 61.25 MHz (dB),CNR @ 547.25 MHz (dB),CSO (dB),CTB (dB),Chirp (MHz/mW),Monitor Current (micro-A),Frequency Response (dB),
CEJA617,G1752-204-052,59.29,22.09425,34.54,0.273,10.58,39.21,-0.23,0.13,6.632,3939.6,52.5,52.9,42.7,67.4,332.49,217.6,0.7,
CEJB442,G1752-204-024,55.05,13.40583,29.82,0.244,10.52,48.96,-0.19,0.1,8.122,3952.2,53,53.3,41.4,73.1,360.22,344,0.7,
CEJE825,G1752-204-059,78.57,17.88048,26.48,0.175,10.53,52.22,-0.28,0.08,9.365,3941.8,51.9,53.3,43.4,65.8,319.16,534.2,0.7,
CEJE050,G1752-204-059,65.55,15.59567,27.5,0.207,10.51,49.9,-0.08,0.02,8.965,3945.4,52.5,53.8,42.7,73.1,356.57,628.4,1,
CEJA262,G1752-204-029,74.29,14.57064,33.36,0.172,10.54,49.25,-0.13,0.08,6.987,3952.8,52.9,54,41.4,72.9,311.61,340.2,0.9,
CEJA618,G1752-204-052,64.05,22.38115,33.73,0.245,10.52,40.18,-0.12,0.12,6.86,3939.6,52.5,53.3,42.4,71.6,343.98,217.5,0.7,
CEJA593,G1752-204-054,63.79,16.29927,32.47,0.224,10.5,50.95,-0.27,0.14,7.238,3942.8,52.2,53.1,43.4,65.7,311.11,616.2,0.6,
CEJC287,G1752-204-029,77.31,19.35926,31.99,0.184,10.56,53.17,-0.13,0.12,7.407,3954.9,51.8,52.8,41.7,65.5,348.33,426.5,0.6,
CEJC198,G1752-204-024,61.3,12.19774,27.65,0.211,10.52,51.16,-0.04,0.07,8.922,3951.6,52.7,53.5,41.7,71.1,331.45,548.6,0.9,
CEJB380,G1752-204-029,81.55,18.55373,32.22,0.164,10.51,52.69,-0.26,0.12,7.336,3955.5,52.3,53.2,41.4,69.3,327.93,695.4,0.6,
CEJB348,G1752-204-029,82.07,13.51924,30.77,0.151,10.55,50.37,-0.07,0.04,7.783,3944.6,52.9,53.6,41.4,72.4,315.48,659.6,0.8,
CEJD220,G1752-204-054,60.3,18.20535,32.78,0.247,10.54,49.25,-0.2,0.09,7.152,3947.8,52.7,53.5,43.2,69.1,389.23,286.2,0.8,
CEI7027,G1752-204-048,68.3,14.69023,23.24,0.191,10.5,50.88,-0.15,0.22,10.85,3952.2,52.2,53.2,41.6,71.9,350.75,394.5,0.6,
CEG5986,G1752-204-039,56.53,10.76396,24.68,0.238,10.54,50.87,-0.13,0.03,10.147,3944.1,51.6,53.1,42.3,64.6,369.49,631.8,1,
CEG9031,G1752-204-039,57.2,15.55956,26.46,0.259,10.54,52.88,-0.08,0.03,9.446,3968.5,52.1,53.4,41.8,64.1,389.32,443,0.6,
CEE9752,G1752-204-038,59.96,11.8025,28.46,0.224,10.5,48.91,-0.22,0.22,8.66,3972,51.4,52.9,42.6,63.8,387.64,501,1,
CEIC612,G1752-204-028,63.28,17.44503,24.84,0.236,10.56,48.48,-0.11,0.05,10.109,3954.9,51.6,52.8,43.1,63.6,310.75,696.5,1,
CEJ7214,G1752-204-050,98.96,17.76595,27.87,0.129,10.5,53.34,-0.23,0.17,8.889,3973.1,53.4,54.1,41.7,71.5,337.45,527.3,0.7,
CEJA265,G1752-204-029,67.54,18.48882,31.6,0.21,10.54,48.73,-0.18,0.2,7.516,3946.4,52.9,53.5,42.2,71.3,331.28,311.9,0.6,
CEJB425,G1752-204-024,55.53,13.71648,30.18,0.245,10.55,50.14,-0.15,0.06,7.992,3949.6,52.9,53.3,41.6,72.4,348.15,394.1,0.8,
CEJA324,G1752-204-029,76.06,18.07548,30.71,0.179,10.52,52.76,-0.25,0.07,7.818,3952.5,52.5,53.1,41.9,70.6,319.85,463.3,0.7,
CEH6067,G1752-204-038,70.31,18.09336,31.15,0.193,10.52,50.42,-0.11,0.07,7.672,3952.3,53.2,54.3,40.6,66.4,336.12,474.5,0.6,
CEJA284,G1752-204-029,74.81,12.8467,30.56,0.167,10.53,51.34,-0.28,0.18,7.842,3938.8,53.3,54.1,41.2,71.2,331.65,431.9,0.6,
CEJA294,G1752-204-029,78.56,20.09451,32.28,0.176,10.51,47.83,-0.09,0.27,7.312,3952.2,53.5,54.1,40.9,72.9,369.2,430.6,0.6,
CEJ5763,G1752-204-024,56.54,16.09987,32.56,0.251,10.51,52.14,-0.02,0.1,7.205,3939.3,53.5,53.8,41.6,69.1,327.82,501,0.9,
CEJ7287,G1752-204-059,93.55,16.10471,27.5,0.135,10.54,51.13,-0.08,0.14,8.966,3945.8,52.7,53.8,42.6,72.1,332.72,634.3,0.7,
CEJA615,G1752-204-052,52.03,14.02182,32.22,0.266,10.52,41.83,-0.18,0.13,7.324,3948.3,52.7,53.6,42.2,72.1,376.78,206.1,0.7,
CEJ5764,G1752-204-024,56.28,13.74745,29.56,0.239,10.55,51.37,-0.24,0.22,8.194,3942.9,52.8,53.1,41.2,72.1,364.78,618.6,1,
CEJC308,G1752-204-029,58.53,14.75909,26.99,0.233,10.54,52.62,-0.12,0.08,9.168,3945.7,53.8,53.8,40.6,74,384.75,141.1,0.7,
CEJB424,G1752-204-024,54.54,14.38594,32.73,0.256,10.55,52.25,-0.04,0.16,7.183,3957.8,53,53.5,41.9,72.8,344.36,296.2,1,
CEJ7301,G1752-204-059,98.3,18.84343,29.98,0.134,10.53,43.47,-0.15,0.08,8.048,3943.2,52.8,53.6,43.4,69.2,333.2,1018.1,0.6,
CEJC218,G1752-204-024,56.54,12.5762,28.42,0.234,10.5,52.2,-0.05,0.08,8.625,3950.5,52.9,53.1,41.6,71.4,320.56,402.2,0.7,
CEJC299,G1752-204-029,58.04,15.25414,27.6,0.241,10.55,50.61,-0.11,0.05,8.928,3946.2,53.5,53.3,41.4,73.1,383.45,164.8,0.6,
CEJ5775,G1752-204-024,62.55,19.50547,28.25,0.235,10.54,47.25,-0.27,0.21,8.663,3939.4,53,53,41.1,65.6,351.7,260.3,0.5,
CEJC280,G1752-204-029,74.81,16.25903,32.99,0.168,10.5,52.61,-0.11,0.11,7.096,3952.4,53.7,53.8,40.4,73.1,387.77,304.6,0.7,
CEJB376,G1752-204-029,83.29,18.22061,31.98,0.159,10.51,41.83,-0.02,0.06,7.397,3947.2,52.8,54,41.1,73.1,368.82,694.9,0.8,
CEJ3338,G1752-204-024,56.53,13.09763,30.97,0.237,10.52,50.82,-0.29,0.01,7.71,3940.9,52.7,54.1,41.6,71.4,363.53,372.4,0.8,
CEF3362,G1752-204-032,83.8,12.9237,24.4,0.141,10.54,51.8,-0.06,0.06,10.312,3955.8,53,53.3,40.9,73,339.56,542.2,0.7,
CEJD178,G1752-204-045,65.79,18.27643,31.15,0.209,10.5,53.01,-0.3,0.03,7.674,3953.4,52.2,53.3,41.6,72.4,313.22,277.6,0.9,
CEJC282,G1752-204-029,61.04,16.05805,29.99,0.225,10.55,54.99,-0.01,0.13,8.057,3949.4,53,53.8,41.7,71.4,310.31,330.1,0.5,
CEIH189,G1752-204-031,73.81,14.98583,29.31,0.175,10.54,52.73,-0.2,0.04,8.3,3951,53.4,54.3,40.2,73.8,363.49,669,0.6,
CEJB358,G1752-204-029,89.06,18.50287,29.08,0.146,10.5,49.43,-0.09,0.11,8.373,3946.5,53.5,53.9,41.2,72.4,361.41,467.8,0.7,
CEJ5815,G1752-204-024,54.28,13.05415,27.83,0.247,10.57,52.41,-0.08,0.2,8.848,3949.9,53,53.8,41.6,73.8,338.15,293.4,0.6,
CEJA293,G1752-204-029,83.05,14.54089,32.49,0.151,10.51,50.77,-0.17,0.22,7.249,3953.3,53.2,54.1,41.2,72.8,368.26,479.7,0.8,
CEJA591,G1752-204-054,62.3,14.5087,33.07,0.224,10.55,52.27,-0.28,0.08,7.072,3952.3,51.9,52.6,42.7,65.3,383.61,495.6,0.7,
CEJ7299,G1752-204-059,92.56,18.06731,30.57,0.143,10.51,48.85,-0.17,0.07,7.843,3941,53.2,53.5,43.1,66.7,334.5,1008.1,0.7,
CEJC263,G1752-204-029,78.05,18.10761,31.19,0.171,10.52,50,-0.07,0.02,7.649,3946.8,53.2,53.5,40.4,73.5,375.83,579.9,1,
CEJB360,G1752-204-029,90.56,17.22894,27.34,0.142,10.52,52.56,-0.09,0.02,9.038,3949.4,53.5,54,40.9,72.8,374.51,514.5,0.6,
CEJA319,G1752-204-029,82.06,18.11029,31.24,0.163,10.52,48.03,-0.04,0.07,7.648,3955.3,52.9,53.3,40.6,71.4,360.87,557.9,0.7,
CEJA260,G1752-204-029,77.55,21.20053,30.28,0.182,10.5,44.95,-0.22,0.1,7.951,3946.2,52.7,53.6,41.2,71.9,374.35,486.9,0.6,
CEJ7288,G1752-204-059,95.81,17.63485,29.19,0.135,10.54,44.22,-0.15,0.11,8.338,3948.6,52.7,53.3,43.7,70.9,322.33,873.3,0.7,
CEF3332,G1752-204-031,81.3,14.81931,32.22,0.156,10.51,49.64,-0.02,0.1,7.341,3958.5,53.2,53.9,41.1,72.8,355.32,236.2,1,
CEI9719,G1752-204-058,80.06,16.36244,32.64,0.164,10.53,48.22,-0.06,0.02,7.217,3961.9,52.2,53.2,44.4,71.4,312.89,363.9,0.7,
CEJA308,G1752-204-029,78.05,14.15543,30.28,0.162,10.51,49.45,-0.02,0.06,7.952,3946.7,53.3,54.5,40.2,74.6,357.42,463.2,0.8,
CEI1503,G1752-204-048,71.47,17.66912,22.33,0.193,10.52,52.4,-0.16,0.11,11.393,3975.2,52.5,53.5,42.2,73.5,385.28,406.2,0.7,
CEHK439,G1752-204-048,88.22,20.71088,24.02,0.158,10.5,48.29,-0.2,0.02,10.548,3973.5,52.2,52.9,44.1,66,319.18,988.1,0.9,
CEE1793,G1752-204-032,65.3,13.23825,22.92,0.204,10.52,51.24,-0.09,0.05,11.001,3950.4,52.2,53.5,43.9,63.3,336.86,625.9,1.1,
CEI6926,G1752-204-048,70.2,12.70867,22.82,0.181,10.52,50.62,-0.19,0.11,11.137,3973.9,53.4,54.1,40.7,71.8,386.62,738.2,1,
CEJA554,G1752-204-054,61.46,17.16856,31.14,0.233,10.55,53.26,-0.1,0.08,7.746,3990.7,53.4,54,42.4,73.4,359.18,340.3,0.6,
CEIB405,G1752-204-038,64.54,14.31665,25.58,0.202,10.5,49.77,-0.19,0.17,9.715,3932,53.2,54.5,41.1,72.3,326.97,411,0.7,
CEJA555,G1752-204-055,61.72,13.58901,24.51,0.216,10.54,49.89,-0.09,0.25,10.332,3977.7,53.7,54.1,41.9,64.9,385.86,513.8,0.5,
CEIG346,G1752-204-028,71.05,14.38641,23.44,0.18,10.5,50.51,-0.14,0.22,10.754,3952.5,52.9,53.8,41.6,73.6,371.77,328.2,0.7,
CEIG418,G1752-204-028,58.54,17.54137,27.51,0.246,10.55,50.23,-0.09,0.04,8.956,3943.3,53,53.3,40.7,64.2,324.97,250.3,0.6,
CEJA315,G1752-204-029,82.98,18.81541,31.92,0.163,10.54,51.13,-0.11,0.14,7.478,3983.4,52.7,53.6,42.2,73.5,351.58,530.2,0.5,
CEF3355,G1752-204-032,75.05,12.75519,24.1,0.166,10.52,53.96,-0.03,0.13,10.428,3948.7,53,53.8,42.2,72.4,348.1,268.1,0.5,
CEE9058,G1752-204-038,63.97,14.00807,28.66,0.208,10.5,42.45,-0.01,0.24,8.588,3973.5,52.5,53.6,41.4,64.1,363.66,506.8,0.6,
CEJ7209,G1752-204-050,88.47,18.59552,31.91,0.151,10.53,51.68,-0.08,0.06,7.499,3993.7,52.5,53.5,43.9,64.2,327.57,702.3,0.5,
CEJA630,G1752-204-052,75.97,16.85115,31.11,0.175,10.5,45.38,-0.12,0.05,7.754,3989.6,52.9,54.3,41.2,72.3,373.84,398.1,0.6,
CEJC249,G1752-204-029,76.72,18.48561,32.67,0.176,10.53,50.41,-0.01,0.11,7.242,3983.2,54.2,54.1,40.1,71.8,358.41,580.5,0.5,
CEJ7207,G1752-204-050,82.48,16.77168,30.9,0.157,10.52,50.21,-0.15,0.23,7.825,3989.8,53,54,43.1,71.8,329.55,360.2,0.6,
CEJC219,G1752-204-024,63.79,12.3104,28.37,0.201,10.53,53.11,-0.06,0.08,8.627,3943.3,53,54.1,40.7,69.6,383.35,562.3,0.6,
CEJA247,G1752-204-029,75.05,15.95,31.78,0.175,10.54,48.5,-0.2,0.1,7.458,3946,53.8,54,41.6,68.9,345.4,458.9,0.9,
CEJ7211,G1752-204-050,76.72,17.66141,25.61,0.178,10.55,49.99,-0.02,0.15,9.802,3966.2,52.8,53.9,42.6,63.6,322.14,653.9,0.5,
CEH6076,G1752-204-038,65.46,20.02305,29.45,0.228,10.54,50.77,-0.05,0.1,8.301,3974.9,53,54.6,41.9,73.6,365.73,503.5,0.6,
CEI6968,G1752-204-048,79.06,14.31762,20.95,0.16,10.54,51.08,-0.15,0.08,11.994,3942,53.2,53.8,41.2,71.1,342.88,344.9,0.9,
CEJ4971,G1752-204-054,68.97,14.07322,29.71,0.185,10.5,47.64,-0.16,0.1,8.233,3986.9,52.8,54.3,42.4,70.9,379.38,607.2,0.6,
CEJ5762,G1752-204-024,63.21,14.17211,32.55,0.206,10.5,50.99,-0.1,0.04,7.301,3996.6,53.2,53.8,39.9,70.5,382.85,627.5,0.6,
CEJA557,G1752-204-054,70.97,14.83813,31.08,0.176,10.5,51.97,-0.12,0.11,7.757,3985.8,53.2,54.1,41.7,71.3,389.09,546.9,0.5,
CEI8718,G1752-204-047,86.8,16.77454,29.35,0.149,10.55,51.56,-0.22,0.1,8.266,3941.8,53.2,54.3,41.1,71.8,373.2,468.6,0.6,
CDE0661,G1752-204-034,81.8,17.0316,23.12,0.159,10.55,51.75,-0.25,0.22,10.9,3949.7,52.7,54,40.6,73.6,325.97,353.1,0.4,
CEF8453,G1752-204-022,68.04,13.4692,22.63,0.188,10.53,52.5,-0.17,0.1,11.145,3950.1,53.3,54.1,39.8,73.4,345.97,343.6,1,
CEF8644,G1752-204-039,75.21,17.11075,25.42,0.18,10.5,50.83,-0.12,0.07,9.894,3969.1,52.4,53.6,41.6,71.7,366.46,588.7,1.1,
CEJ5850,G1752-204-051,90.22,22.06514,30.42,0.151,10.53,50.13,-0.2,0.13,7.981,3985.7,53,54.1,40.6,72.8,374.87,392.5,0.6,
CEJ7241,G1752-204-057,51.72,13.14974,32.49,0.263,10.5,46.6,-0.2,0.03,7.297,3982.7,51.2,52.6,44.1,72.7,326.25,327,0.8,
CEJ7196,G1752-204-050,75.03,20.22652,28.03,0.191,10.51,53.16,-0.09,0.14,8.762,3946,52.5,54.1,41.7,67.6,365.59,289.3,0.7,
CEJA570,G1752-204-054,73.78,16.48398,30.44,0.177,10.53,51.86,-0.09,0.07,7.901,3948.4,52.7,53.7,41,71.1,375,349.5,0.7,
CEE3863,G1752-204-032,69.48,15.34027,24.38,0.188,10.54,50.82,-0.15,0.08,10.39,3976.9,53.6,54.2,39.5,69.5,368.95,421.9,0.7,
CEJ5849,G1752-204-051,84.21,22.05785,28.36,0.165,10.51,49.72,-0.17,0.17,8.694,3970.4,53,54.3,41.2,73.6,357.03,401.1,0.5,
CEJ4976,G1752-204-054,66.72,17.56557,28.26,0.207,10.55,47.88,-0.3,0.14,8.74,3973.7,53,53.8,41.7,66.6,386.62,329,0.7,
CEJA299,G1752-204-029,85.96,16.07439,32.18,0.148,10.55,45.5,-0.11,0.09,7.398,3985,53.2,54.2,40,73.9,378.28,396,0.7,
CEJ7300,G1752-204-059,96.28,18.34114,29.83,0.135,10.51,44.27,-0.21,0.21,8.118,3952,52.5,53.8,43.1,70.9,336.17,979,0.8,
CEJ7296,G1752-204-059,93.46,18.67774,32.68,0.141,10.53,48.21,-0.24,0.21,7.242,3985.1,52.1,53.6,43.6,71.1,342.54,753.4,0.5,
CEJ7654,G1752-204-058,53.71,11.71167,28.11,0.246,10.55,51.66,-0.04,0.04,8.799,3974.3,53.1,54.6,41.5,73.1,378.42,611.3,0.8,
CEJ7268,G1752-204-058,53.54,13.83242,31.95,0.255,10.53,47.91,-0.08,0.04,7.408,3948.1,52.5,53.6,42.4,71.4,322.53,345.2,0.6,
CEJ7203,G1752-204-050,86.05,15.6893,27.36,0.145,10.5,49.3,-0.13,0.11,9.013,3942.6,52.9,54.1,40.8,73.9,388.62,595.4,0.8,
CEJ3333,G1752-204-024,60.96,15.51377,32.4,0.224,10.5,48.18,-0.08,0.1,7.349,3997.2,52.8,53.5,41.7,71.1,358.62,382.7,0.8,
CEJ7295,G1752-204-059,96.04,21.02137,31.62,0.14,10.51,49.28,-0.29,0.08,7.518,3951.2,51.9,53.6,44,70.3,325.86,848.4,0.6,
CEIB393,G1752-204-038,77.45,18.11635,26.73,0.172,10.5,50.95,-0.24,0.21,9.355,3976.3,53.4,54.2,40.6,73.3,375.68,347,0.7,
CEJ7293,G1752-204-059,102.8,20.37241,31.55,0.127,10.51,51.3,-0.17,0.01,7.552,3957.8,52.2,53.6,43.4,68.6,351.81,831.2,0.8,
CEJ7247,G1752-204-057,53.28,14.17125,33.98,0.262,10.55,48.62,-0.16,0.04,6.806,3951.8,52.5,54.3,42.9,72.9,311.71,389,0.6,
CEJ7304,G1752-204-059,99.32,17.5416,29,0.127,10.54,47.59,-0.13,0.08,8.409,3949.6,51.7,53.2,43.5,73.5,330.48,779.7,0.7,
CEF3352,G1752-204-032,78.31,12.02272,20.26,0.157,10.54,53.65,-0.08,0.04,12.373,3940.9,53.3,54.6,41,73.4,376.6,342.1,0.7,
CEJ7662,G1752-204-058,56.3,11.69092,25.2,0.231,10.54,52.23,-0.14,0.15,9.907,3941.2,52.1,52.9,42.1,71.9,388.53,541.6,0.7,
CEJA311,G1752-204-029,89.05,15.25071,30.46,0.142,10.52,48.63,-0.08,0.11,7.878,3940,52.4,53.6,40.8,71.9,380.98,743.1,0.6,
CEJA244,G1752-204-029,91.56,15.29691,28.41,0.137,10.52,48.98,-0.15,0.05,8.626,3949.3,52.1,53.9,41.3,72,367.51,588.5,0.7,
CEJA332,G1752-204-029,75.06,17.08197,32.16,0.178,10.53,50.82,-0.21,0.09,7.347,3950.9,52.4,53.4,41.8,73.2,330.02,446.3,0.6,
CEJA336,G1752-204-029,88.07,18.92778,30.97,0.151,10.51,52.88,-0.21,0.14,7.709,3940.3,52.1,53.4,41.1,72.5,378.7,695.5,0.5,
CEEA547,G1752-204-032,61.54,13.57701,21.72,0.22,10.51,47.98,-0.08,0.06,11.611,3949.4,51.6,52.9,43.3,69.3,347.08,410.4,1,
CEJB369,G1752-204-029,74.55,13.94441,32.36,0.171,10.55,47.26,-0.18,0.12,7.273,3943.6,51.4,52.9,42.8,72.7,334.57,326.8,0.5,
CEJA296,G1752-204-029,79.56,16.0315,32.49,0.164,10.52,52.06,-0.14,0.14,7.248,3952.7,52.4,53.6,42.1,71.4,323.43,363,0.7,
CEJC250,G1752-204-029,70.3,16.73431,33.63,0.193,10.54,49.87,-0.17,0.13,6.921,3961.6,52.9,54.1,40.8,74.7,376.91,561,0.8,
CEJA288,G1752-204-029,74.05,16.72268,30.16,0.182,10.5,46.19,-0.09,0.09,7.987,3943.6,52.4,53.1,41.6,73.7,346.9,506.6,1,
CEJA331,G1752-204-029,76.56,17.73645,31.15,0.177,10.53,53.12,-0.23,0.12,7.682,3957.7,51.9,53.4,42.5,74.1,321.13,446.8,0.7,
CEF8639,G1752-204-039,81.04,16.0302,25.2,0.158,10.52,51.22,-0.15,0.16,9.91,3942.2,52.9,54.1,40.6,70.6,373.96,531.3,0.8,
CEI0872,G1752-204-038,61.28,17.08371,30.04,0.229,10.51,54.59,-0.12,0.06,8.047,3953,52.1,53.6,42.6,71.7,327.42,400.1,0.5,
CEJ4040,G1752-204-024,61.79,14.99192,34.78,0.22,10.52,52.21,-0.19,0.13,6.576,3947.1,52.2,53.4,40.8,71.9,389.73,390.5,0.7,
CEG4780,G1752-204-039,70.54,13.92789,24.83,0.179,10.53,45.81,-0.15,0.24,10.097,3949.7,52.4,53.2,41.3,70.1,323.79,200.9,0.7,
CEJA328,G1752-204-029,79.06,20.44702,31.64,0.175,10.5,49.98,-0.2,0.07,7.517,3954.3,51.6,52.6,42.5,73,312.24,504.1,0.7,
CEIH504,G1752-204-028,77.28,16.37826,24.28,0.168,10.5,49.55,-0.23,0.15,10.349,3950.1,52.1,53.1,40.8,68.3,371.35,715.9,0.5,
CEH6112,G1752-204-038,64.52,19.24383,30.15,0.224,10.51,50.77,-0.03,0.22,8.019,3957.9,51.7,52.9,42.6,72.9,312.19,356.4,0.6,
CEJA561,G1752-204-054,64.78,12.07897,29.88,0.19,10.52,51.02,-0.18,0.03,8.084,3943.9,51.9,53.1,42.1,71.4,358.52,636,0.6,
CEJA330,G1752-204-029,73.47,17.98558,31.95,0.187,10.53,49.29,-0.16,0.01,7.459,3977.9,52.7,53.9,41.5,72.7,347.19,370.5,0.6,
CEIA332,G1752-204-030,78.97,22.37401,33.62,0.174,10.53,47.95,-0.06,0.03,6.976,3996.9,52.9,53.2,40,71.7,381.78,322,0.6,
CEF0346,G1752-204-032,83.72,15.18756,23.69,0.15,10.52,46.33,-0.02,0.07,10.701,3972,53.1,53.9,39.8,72.9,367.3,244.6,0.5,
CEJA631,G1752-204-052,75.72,20.23059,32.26,0.185,10.5,41.05,-0.19,0.02,7.372,3984.5,52.6,53.7,42.1,72.5,369.95,322.7,0.4,
CEJA629,G1752-204-052,76.56,22.32586,31.34,0.189,10.51,42.35,-0.15,0.06,7.613,3953.9,53.1,54.1,41.8,72.2,373.05,267.8,0.6,
CEJ7220,G1752-204-052,88.31,22.37723,28.07,0.158,10.53,42.92,-0.07,0.09,8.736,3941.5,52.8,53.7,41.6,74.2,387.04,531.5,0.7,
CEJ7232,G1752-204-052,92.79,20.12212,25.98,0.142,10.54,51.62,-0.12,0.02,9.578,3943.5,51.8,53.6,41.5,71,369.02,473.8,0.6,
CEJ7229,G1752-204-052,89.44,19.69277,32.75,0.148,10.51,50.34,-0.12,0.28,7.216,3982.3,52.7,53.9,41.3,74.2,357.4,666,0.7,
CEJ7236,G1752-204-052,63.2,14.98468,30.43,0.215,10.51,49.48,-0.23,0.1,7.992,3993.1,52.4,53.8,43,71.1,333.87,333.2,0.7,
CEJA681,G1752-204-052,64.03,21.29136,29.26,0.242,10.55,53.43,-0.07,0.12,8.301,3943.1,52.4,53.7,42.5,73.2,337.98,250.1,0.7,
CEJA601,G1752-204-052,58.28,14.70908,32.65,0.233,10.54,52.47,-0.25,0.11,7.192,3948.2,52.4,53.4,42,71.7,389.42,293.4,0.7,
CEJ7306,G1752-204-059,102.04,17.42243,29.44,0.125,10.51,49.9,-0.11,0.02,8.259,3953.6,52.3,53.4,43.2,70.1,366.71,1099.3,1,
CEJ7202,G1752-204-050,101.22,21.60928,30.9,0.129,10.5,52.09,-0.24,0.13,7.817,3985.6,53,54,41.1,71.9,358.38,951.3,0.8,
CEJ7243,G1752-204-057,59.7,13.12904,33.59,0.221,10.5,50.99,-0.05,0.02,6.984,3996.3,53,54.3,41.7,72.6,373.32,508.8,1,
CEJ7245,G1752-204-057,58.28,12.4184,33.51,0.223,10.55,53.17,-0.21,0.08,6.94,3950.8,52.5,54.3,42.9,72.8,388.52,542.3,1,
CEI9623,G1752-204-058,92.22,20.58416,24.15,0.147,10.5,45.37,-0.21,0.22,10.504,3978.8,52.4,53.5,43.6,72.8,335.92,718.3,1,
CEJ7258,G1752-204-057,59.46,13.26034,32.33,0.221,10.51,50.77,-0.08,0.05,7.357,3988.7,52.5,53.9,43.1,72.6,370.31,416.3,0.8,
CEJ7298,G1752-204-059,93.47,21.09647,31.72,0.148,10.5,45.9,-0.12,0.09,7.557,3991.7,51.3,52.6,44.4,67.5,327.39,1047.9,1,
CEJ5853,G1752-204-051,66.97,22.05618,25.2,0.227,10.53,49.05,-0.11,0.15,9.989,3968.3,52.9,53.5,42.2,69.1,353.16,249.4,1,
CEI8728,G1752-204-048,73.3,15.24725,21.97,0.179,10.52,48.22,-0.16,0.16,11.466,3945.8,52.1,53.2,42.3,71.9,355.53,367.7,1,
CEI5702,G1752-204-048,63.3,17.8532,25.94,0.237,10.52,51.6,-0.09,0.07,9.602,3946,52.4,53.7,43.1,63.2,345.43,415.4,1,
CEI8734,G1752-204-048,85.81,13.67438,21.99,0.144,10.52,50.63,-0.22,0.09,11.462,3947.5,52.6,54.1,41.1,74.4,367.76,468.4,0.6,
CEI3287,G1752-204-048,92.06,17.51491,21.35,0.14,10.52,50.26,-0.19,0.12,11.787,3944.3,52.4,53.8,42,73.2,365.63,616.2,0.8,
CEI7006,G1752-204-048,78.81,15.77356,20.92,0.162,10.5,49.76,-0.25,0.22,12.029,3946.4,52.9,53.9,40.1,74.4,364.22,401.8,0.8,
CEI8733,G1752-204-048,85.3,14.75271,21.88,0.148,10.54,51.6,-0.21,0.03,11.516,3946.6,52.8,53.9,41.3,73.9,383.41,474.2,1,
CEI6999,G1752-204-048,74.3,15.74801,21.51,0.175,10.54,49.51,-0.1,0.07,11.712,3946.9,52.4,53.4,41.5,69.7,377.35,232.6,1,
CEI8721,G1752-204-048,79.3,14.47128,20.64,0.159,10.51,51.4,-0.29,0.08,12.185,3946.7,52.4,53.4,41,73.2,365.11,392.9,1,
CEI6936,G1752-204-048,77.05,13.23349,21.51,0.162,10.54,48.88,-0.13,0.03,11.713,3947.1,52.8,54.1,41,74,368.57,610.7,1,
CEI3266,G1752-204-048,86.3,18.82976,20.28,0.157,10.5,49.65,-0.1,0.07,12.369,3942.5,51.9,53.3,42.3,71,327.23,696.5,1,
CEI7022,G1752-204-048,67.29,14.2977,23.49,0.196,10.52,50.42,-0.12,0.16,10.706,3945.6,52.2,53.4,42.1,73.4,319.41,492.9,0.6,
CEI3233,G1752-204-048,74.05,16.82176,24.2,0.184,10.5,50.61,-0.1,0.15,10.402,3955,51.6,53.1,42.5,66.1,362.06,835.3,1,
CEI6993,G1752-204-048,68.29,12.94156,20.79,0.187,10.53,51.65,-0.06,0.26,12.091,3944.1,52.1,53.2,42.3,73.7,338.77,348.8,0.6,
CEI8745,G1752-204-048,88.3,18.02861,24.11,0.148,10.52,48.69,-0.18,0.11,10.426,3949.5,53.1,54.2,40.6,74,379.66,424.5,1,
CEI3246,G1752-204-048,68.04,12.85037,21.42,0.187,10.5,49.92,-0.18,0.05,11.766,3948.3,52.4,53.7,43,72,342.9,719,0.6,
CEI3292,G1752-204-048,92.05,17.98236,23.16,0.141,10.51,51.31,-0.05,0.02,10.848,3940.6,51.9,53.1,42.5,72.4,363.51,672.8,0.6,
CEI3285,G1752-204-048,80.56,19.02679,20.83,0.174,10.5,46.45,-0.05,0.09,12.078,3946.3,51.1,52.9,43,64.5,359.85,922.7,1,
CEI7028,G1752-204-048,70.56,13.26631,21.69,0.18,10.54,52.62,-0.21,0.07,11.614,3946.2,52.6,53.9,41.6,74.2,349.51,481.8,0.9,
CEI8722,G1752-204-048,79.81,15.38541,23.04,0.161,10.51,43.67,-0.05,0.09,10.947,3951.9,52.4,53.4,41.1,73,380.18,400.7,1,
CEI3224,G1752-204-048,79.56,18.84582,21.36,0.175,10.52,49.63,-0.27,0.19,11.785,3945.1,51.9,53.4,42.6,66.4,339.51,704.6,1,
CEJ7221,G1752-204-052,87.71,24.14691,32.73,0.16,10.5,48.76,-0.09,0.06,7.247,3997.8,52.2,53.2,42,69.5,335.9,469.2,0.7,
CEJ7279,G1752-204-058,52.96,13.19194,29.17,0.26,10.53,48.95,-0.1,0.09,8.399,3973.3,51.9,53.2,42.8,73.5,316.26,543.5,1,
